Carcass,Unit,Visibility,GroundCover,Season,HabitatType,Split,Size,DateFound
1519,4,L,B,SF,HT1,C2,L,1/14/2017
1520,4,L,B,SF,HT2,C1,L,1/16/2017
1521,4,L,B,SF,HT2,C1,L,1/16/2017
1522,4,L,B,SF,HT2,C1,L,1/16/2017
1523,4,L,B,SF,HT2,C1,L,1/16/2017
1524,4,L,B,SF,HT2,C1,L,1/18/2017
1525,4,L,B,SF,HT2,C2,L,1/18/2017
1526,4,L,B,SF,HT2,C2,L,1/18/2017
1527,4,L,B,SF,HT2,C2,L,1/18/2017
1528,4,L,B,WS,HT1,C1,L,1/18/2017
1529,4,L,B,WS,HT1,C1,L,1/18/2017
1530,4,L,B,WS,HT1,C1,L,1/18/2017
1531,4,L,B,WS,HT1,C1,L,1/18/2017
1532,4,L,B,WS,HT1,C2,L,1/18/2017
1533,4,L,B,WS,HT1,C2,L,1/18/2017
1534,4,L,B,WS,HT1,C2,L,1/2/2017
1535,4,L,B,WS,HT1,C2,L,1/2/2017
1536,4,L,B,WS,HT1,C2,L,1/2/2017
1537,4,L,B,WS,HT1,C2,L,1/2/2017
1538,4,L,B,WS,HT2,C1,L,1/20/2017
1539,4,L,B,WS,HT2,C1,L,1/20/2017
1540,4,L,B,WS,HT2,C1,L,1/20/2017
1541,4,L,B,WS,HT2,C1,L,1/20/2017
1542,4,L,B,WS,HT2,C1,L,1/20/2017
1543,4,L,B,WS,HT2,C2,L,1/20/2017
1544,4,L,B,WS,HT2,C2,L,1/20/2017
1545,4,L,B,WS,HT2,C2,L,1/20/2017
1546,4,L,B,WS,HT2,C2,L,1/20/2017
1547,4,L,B,WS,HT2,C2,L,1/22/2017
1548,4,L,B,WS,HT2,C2,L,1/22/2017
1549,4,M,A,SF,HT2,C1,L,1/22/2017
1550,4,M,A,SF,HT2,C1,L,1/24/2017
1551,4,M,A,SF,HT2,C1,L,1/24/2017
1552,4,M,A,SF,HT2,C2,L,1/24/2017
1553,4,M,A,SF,HT2,C2,L,1/24/2017
1554,4,M,A,SF,HT2,C2,L,1/24/2017
1555,4,M,B,SF,HT1,C2,L,1/24/2017
1556,4,M,B,SF,HT1,C2,L,1/26/2017
1557,4,M,B,SF,HT1,C2,L,1/26/2017
1558,4,M,B,SF,HT1,C2,L,1/26/2017
1559,4,M,B,SF,HT2,C1,L,1/26/2017
1560,4,M,B,SF,HT2,C1,L,1/26/2017
1561,4,M,B,SF,HT2,C1,L,1/26/2017
1562,4,M,B,SF,HT2,C1,L,1/26/2017
1563,4,M,B,SF,HT2,C1,L,1/26/2017
1564,4,M,B,WS,HT1,C1,L,1/26/2017
1565,4,M,B,WS,HT1,C1,L,1/26/2017
1566,4,M,B,WS,HT1,C1,L,1/26/2017
1567,4,M,B,WS,HT1,C1,L,1/26/2017
1568,4,M,B,WS,HT1,C1,L,1/26/2017
1569,4,M,B,WS,HT2,C2,L,1/26/2017
1570,4,M,B,WS,HT2,C2,L,1/26/2017
1571,4,M,B,WS,HT2,C2,L,1/28/2017
1572,4,M,B,WS,HT2,C2,L,1/28/2017
1573,4,M,B,WS,HT2,C2,L,1/28/2017
1574,4,M,B,WS,HT2,C2,L,1/28/2017
1575,4,H,A,SF,HT2,C2,L,1/28/2017
1576,4,H,A,SF,HT2,C2,L,1/28/2017
1577,4,H,A,SF,HT2,C2,L,1/28/2017
1578,4,H,A,SF,HT2,C2,L,1/28/2017
1579,4,H,A,SF,HT2,C2,L,1/30/2017
1580,4,H,B,SF,HT2,C1,L,1/30/2017
1581,4,H,B,SF,HT2,C1,L,1/30/2017
1582,4,H,B,SF,HT2,C1,L,1/30/2017
1583,4,H,B,SF,HT2,C1,L,1/30/2017
1584,4,H,B,WS,HT2,C2,L,1/30/2017
1585,4,H,B,WS,HT2,C2,L,1/30/2017
1586,4,H,B,WS,HT2,C2,L,1/30/2017
1587,4,H,B,WS,HT2,C2,L,1/4/2017
1588,4,H,B,WS,HT2,C2,L,1/4/2017
1589,4,H,B,WS,HT2,C2,L,1/4/2017
1590,4,L,A,SF,HT2,C1,M,1/10/2017
1591,4,L,A,SF,HT2,C1,M,1/10/2017
1592,4,L,A,SF,HT2,C1,M,1/10/2017
1593,4,L,A,SF,HT2,C1,M,1/10/2017
1594,4,L,A,SF,HT2,C1,M,1/10/2017
1595,4,L,A,SF,HT2,C1,M,1/10/2017
1596,4,L,A,SF,HT2,C2,M,1/10/2017
1597,4,L,A,SF,HT2,C2,M,1/10/2017
1598,4,L,A,SF,HT2,C2,M,1/12/2017
1599,4,L,A,SF,HT2,C2,M,1/12/2017
1600,4,L,A,SF,HT2,C2,M,1/12/2017
1601,4,L,A,SF,HT2,C2,M,1/12/2017
1602,4,L,A,WS,HT1,C1,M,1/14/2017
1603,4,L,A,WS,HT1,C1,M,1/14/2017
1604,4,L,A,WS,HT1,C1,M,1/14/2017
1605,4,L,A,WS,HT1,C1,M,1/14/2017
1606,4,L,A,WS,HT1,C2,M,1/14/2017
1607,4,L,A,WS,HT1,C2,M,1/14/2017
1608,4,L,A,WS,HT1,C2,M,1/14/2017
1609,4,L,A,WS,HT1,C2,M,1/14/2017
1610,4,L,A,WS,HT2,C1,M,1/14/2017
1611,4,L,A,WS,HT2,C1,M,1/14/2017
1612,4,L,A,WS,HT2,C1,M,1/14/2017
1613,4,L,A,WS,HT2,C2,M,1/14/2017
1614,4,L,A,WS,HT2,C2,M,1/16/2017
1615,4,L,A,WS,HT2,C2,M,1/16/2017
1616,4,L,A,WS,HT2,C2,M,1/16/2017
1617,4,L,A,WS,HT2,C2,M,1/16/2017
1618,4,L,A,WS,HT2,C2,M,1/16/2017
1619,4,L,B,SF,HT1,C2,M,1/16/2017
1620,4,L,B,SF,HT1,C2,M,1/16/2017
1621,4,L,B,SF,HT1,C2,M,1/18/2017
1622,4,L,B,SF,HT1,C2,M,1/18/2017
1623,4,L,B,SF,HT1,C2,M,1/18/2017
1624,4,L,B,SF,HT1,C2,M,1/18/2017
1625,4,L,B,SF,HT2,C1,M,1/18/2017
1626,4,L,B,SF,HT2,C1,M,1/18/2017
1627,4,L,B,SF,HT2,C1,M,1/18/2017
1628,4,L,B,SF,HT2,C1,M,1/18/2017
1629,4,L,B,SF,HT2,C1,M,1/2/2017
1630,4,L,B,SF,HT2,C2,M,1/2/2017
1631,4,L,B,SF,HT2,C2,M,1/2/2017
1632,4,L,B,SF,HT2,C2,M,1/2/2017
1633,4,L,B,SF,HT2,C2,M,1/2/2017
1634,4,L,B,SF,HT2,C2,M,1/2/2017
1635,4,L,B,SF,HT2,C2,M,1/2/2017
1636,4,L,B,WS,HT1,C1,M,1/2/2017
1637,4,L,B,WS,HT1,C1,M,1/2/2017
1638,4,L,B,WS,HT1,C1,M,1/2/2017
1639,4,L,B,WS,HT1,C1,M,1/2/2017
1640,4,L,B,WS,HT1,C1,M,1/2/2017
1641,4,L,B,WS,HT1,C1,M,1/20/2017
1642,4,L,B,WS,HT1,C2,M,1/20/2017
1643,4,L,B,WS,HT1,C2,M,1/20/2017
1644,4,L,B,WS,HT1,C2,M,1/20/2017
1645,4,L,B,WS,HT1,C2,M,1/20/2017
1646,4,L,B,WS,HT2,C1,M,1/20/2017
1647,4,L,B,WS,HT2,C1,M,1/20/2017
1648,4,L,B,WS,HT2,C1,M,1/20/2017
1649,4,L,B,WS,HT2,C1,M,1/20/2017
1650,4,L,B,WS,HT2,C1,M,1/22/2017
1651,4,L,B,WS,HT2,C1,M,1/22/2017
1652,4,L,B,WS,HT2,C2,M,1/22/2017
1653,4,L,B,WS,HT2,C2,M,1/22/2017
1654,4,L,B,WS,HT2,C2,M,1/22/2017
1655,4,L,B,WS,HT2,C2,M,1/22/2017
1656,4,L,B,WS,HT2,C2,M,1/22/2017
1657,4,M,A,SF,HT2,C1,M,1/22/2017
1658,4,M,A,SF,HT2,C1,M,1/24/2017
1659,4,M,A,SF,HT2,C1,M,1/24/2017
1660,4,M,A,SF,HT2,C1,M,1/24/2017
1661,4,M,A,SF,HT2,C1,M,1/24/2017
1662,4,M,A,SF,HT2,C2,M,1/24/2017
1663,4,M,A,SF,HT2,C2,M,1/24/2017
1664,4,M,A,SF,HT2,C2,M,1/24/2017
1665,4,M,A,SF,HT2,C2,M,1/24/2017
1666,4,M,A,SF,HT2,C2,M,1/24/2017
1667,4,M,A,SF,HT2,C2,M,1/24/2017
1668,4,M,B,SF,HT1,C2,M,1/24/2017
1669,4,M,B,SF,HT1,C2,M,1/26/2017
1670,4,M,B,SF,HT1,C2,M,1/26/2017
1671,4,M,B,SF,HT1,C2,M,1/26/2017
1672,4,M,B,SF,HT1,C2,M,1/26/2017
1673,4,M,B,SF,HT2,C1,M,1/26/2017
1674,4,M,B,SF,HT2,C1,M,1/26/2017
1675,4,M,B,SF,HT2,C1,M,1/28/2017
1676,4,M,B,SF,HT2,C2,M,1/28/2017
1677,4,M,B,SF,HT2,C2,M,1/28/2017
1678,4,M,B,SF,HT2,C2,M,1/28/2017
1679,4,M,B,SF,HT2,C2,M,1/28/2017
1680,4,M,B,SF,HT2,C2,M,1/28/2017
1681,4,M,B,SF,HT2,C2,M,1/28/2017
1682,4,M,B,WS,HT1,C1,M,1/28/2017
1683,4,M,B,WS,HT1,C1,M,1/28/2017
1684,4,M,B,WS,HT1,C1,M,1/28/2017
1685,4,M,B,WS,HT1,C1,M,1/30/2017
1686,4,M,B,WS,HT1,C2,M,1/30/2017
1687,4,M,B,WS,HT1,C2,M,1/30/2017
1688,4,M,B,WS,HT1,C2,M,1/30/2017
1689,4,M,B,WS,HT1,C2,M,1/30/2017
1690,4,M,B,WS,HT1,C2,M,1/4/2017
1691,4,M,B,WS,HT1,C2,M,1/4/2017
1692,4,M,B,WS,HT2,C1,M,1/4/2017
1693,4,M,B,WS,HT2,C1,M,1/4/2017
1694,4,M,B,WS,HT2,C1,M,1/4/2017
1695,4,M,B,WS,HT2,C1,M,1/4/2017
1696,4,M,B,WS,HT2,C1,M,1/4/2017
1697,4,M,B,WS,HT2,C1,M,1/4/2017
1698,4,M,B,WS,HT2,C2,M,1/4/2017
1699,4,M,B,WS,HT2,C2,M,1/4/2017
1700,4,M,B,WS,HT2,C2,M,1/4/2017
1701,4,M,B,WS,HT2,C2,M,1/6/2017
1702,4,M,B,WS,HT2,C2,M,1/6/2017
1703,4,M,B,WS,HT2,C2,M,1/6/2017
1704,4,H,A,SF,HT2,C2,M,1/6/2017
1705,4,H,A,SF,HT2,C2,M,1/6/2017
1706,4,H,A,SF,HT2,C2,M,1/6/2017
1707,4,H,A,SF,HT2,C2,M,1/6/2017
1708,4,H,B,SF,HT1,C2,M,1/6/2017
1709,4,H,B,SF,HT1,C2,M,1/8/2017
1710,4,H,B,SF,HT1,C2,M,1/8/2017
1711,4,H,B,SF,HT2,C1,M,1/8/2017
1712,4,H,B,SF,HT2,C1,M,2/1/2017
1713,4,H,B,SF,HT2,C1,M,2/1/2017
1714,4,H,B,SF,HT2,C1,M,2/1/2017
1715,4,H,B,SF,HT2,C1,M,2/1/2017
1716,4,H,B,WS,HT2,C2,M,2/1/2017
1717,4,H,B,WS,HT2,C2,M,2/11/2017
1718,4,H,B,WS,HT2,C2,M,2/11/2017
1719,4,H,B,WS,HT2,C2,M,2/11/2017
1720,4,H,B,WS,HT2,C2,M,2/11/2017
1721,4,L,A,SF,HT1,C2,S,1/10/2017
1722,4,L,A,SF,HT1,C2,S,1/10/2017
1723,4,L,A,SF,HT1,C2,S,1/10/2017
1724,4,L,A,SF,HT1,C2,S,1/10/2017
1725,4,L,A,SF,HT2,C1,S,1/10/2017
1726,4,L,A,SF,HT2,C1,S,1/10/2017
1727,4,L,A,SF,HT2,C1,S,1/10/2017
1728,4,L,A,SF,HT2,C2,S,1/10/2017
1729,4,L,A,SF,HT2,C2,S,1/10/2017
1730,4,L,A,SF,HT2,C2,S,1/12/2017
1731,4,L,A,SF,HT2,C2,S,1/12/2017
1732,4,L,A,SF,HT2,C2,S,1/12/2017
1733,4,L,A,WS,HT1,C1,S,1/12/2017
1734,4,L,A,WS,HT1,C1,S,1/12/2017
1735,4,L,A,WS,HT1,C1,S,1/12/2017
1736,4,L,A,WS,HT1,C2,S,1/12/2017
1737,4,L,A,WS,HT1,C2,S,1/12/2017
1738,4,L,A,WS,HT1,C2,S,1/12/2017
1739,4,L,A,WS,HT1,C2,S,1/12/2017
1740,4,L,A,WS,HT1,C2,S,1/14/2017
1741,4,L,A,WS,HT1,C2,S,1/14/2017
1742,4,L,A,WS,HT2,C1,S,1/14/2017
1743,4,L,A,WS,HT2,C1,S,1/14/2017
1744,4,L,A,WS,HT2,C1,S,1/14/2017
1745,4,L,A,WS,HT2,C1,S,1/14/2017
1746,4,L,A,WS,HT2,C1,S,1/14/2017
1747,4,L,A,WS,HT2,C1,S,1/14/2017
1748,4,L,A,WS,HT2,C2,S,1/14/2017
1749,4,L,A,WS,HT2,C2,S,1/14/2017
1750,4,L,A,WS,HT2,C2,S,1/14/2017
1751,4,L,A,WS,HT2,C2,S,1/14/2017
1752,4,L,B,SF,HT1,C2,S,1/16/2017
1753,4,L,B,SF,HT1,C2,S,1/16/2017
1754,4,L,B,SF,HT1,C2,S,1/16/2017
1755,4,L,B,SF,HT1,C2,S,1/16/2017
1756,4,L,B,SF,HT2,C1,S,1/16/2017
1757,4,L,B,SF,HT2,C1,S,1/18/2017
1758,4,L,B,SF,HT2,C1,S,1/18/2017
1759,4,L,B,SF,HT2,C1,S,1/18/2017
1760,4,L,B,SF,HT2,C1,S,1/18/2017
1761,4,L,B,SF,HT2,C2,S,1/18/2017
1762,4,L,B,SF,HT2,C2,S,1/18/2017
1763,4,L,B,SF,HT2,C2,S,1/18/2017
1764,4,L,B,SF,HT2,C2,S,1/18/2017
1765,4,L,B,WS,HT1,C1,S,1/18/2017
1766,4,L,B,WS,HT1,C1,S,1/2/2017
1767,4,L,B,WS,HT1,C1,S,1/2/2017
1768,4,L,B,WS,HT1,C1,S,1/2/2017
1769,4,L,B,WS,HT1,C1,S,1/2/2017
1770,4,L,B,WS,HT1,C2,S,1/2/2017
1771,4,L,B,WS,HT1,C2,S,1/2/2017
1772,4,L,B,WS,HT1,C2,S,1/20/2017
1773,4,L,B,WS,HT1,C2,S,1/20/2017
1774,4,L,B,WS,HT2,C1,S,1/20/2017
1775,4,L,B,WS,HT2,C1,S,1/20/2017
1776,4,L,B,WS,HT2,C1,S,1/20/2017
1777,4,L,B,WS,HT2,C1,S,1/20/2017
1778,4,L,B,WS,HT2,C1,S,1/22/2017
1779,4,L,B,WS,HT2,C2,S,1/22/2017
1780,4,L,B,WS,HT2,C2,S,1/22/2017
1781,4,L,B,WS,HT2,C2,S,1/22/2017
1782,4,M,A,SF,HT2,C1,S,1/22/2017
1783,4,M,A,SF,HT2,C1,S,1/22/2017
1784,4,M,A,SF,HT2,C1,S,1/24/2017
1785,4,M,A,SF,HT2,C1,S,1/24/2017
1786,4,M,A,SF,HT2,C2,S,1/24/2017
1787,4,M,A,SF,HT2,C2,S,1/24/2017
1788,4,M,A,SF,HT2,C2,S,1/24/2017
1789,4,M,A,SF,HT2,C2,S,1/24/2017
1790,4,M,A,SF,HT2,C2,S,1/24/2017
1791,4,M,B,SF,HT1,C2,S,1/24/2017
1792,4,M,B,SF,HT1,C2,S,1/26/2017
1793,4,M,B,SF,HT1,C2,S,1/26/2017
1794,4,M,B,SF,HT1,C2,S,1/26/2017
1795,4,M,B,SF,HT1,C2,S,1/26/2017
1796,4,M,B,SF,HT1,C2,S,1/26/2017
1797,4,M,B,SF,HT2,C1,S,1/28/2017
1798,4,M,B,SF,HT2,C1,S,1/28/2017
1799,4,M,B,SF,HT2,C1,S,1/28/2017
1800,4,M,B,SF,HT2,C1,S,1/28/2017
1801,4,M,B,SF,HT2,C1,S,1/28/2017
1802,4,M,B,SF,HT2,C1,S,1/28/2017
1803,4,M,B,SF,HT2,C2,S,1/28/2017
1804,4,M,B,SF,HT2,C2,S,1/28/2017
1805,4,M,B,SF,HT2,C2,S,1/28/2017
1806,4,M,B,WS,HT1,C1,S,1/28/2017
1807,4,M,B,WS,HT1,C1,S,1/28/2017
1808,4,M,B,WS,HT1,C1,S,1/28/2017
1809,4,M,B,WS,HT1,C2,S,1/28/2017
1810,4,M,B,WS,HT1,C2,S,1/30/2017
1811,4,M,B,WS,HT1,C2,S,1/30/2017
1812,4,M,B,WS,HT1,C2,S,1/30/2017
1813,4,M,B,WS,HT2,C1,S,1/4/2017
1814,4,M,B,WS,HT2,C1,S,1/4/2017
1815,4,M,B,WS,HT2,C1,S,1/4/2017
1816,4,M,B,WS,HT2,C1,S,1/4/2017
1817,4,M,B,WS,HT2,C1,S,1/4/2017
1818,4,M,B,WS,HT2,C1,S,1/6/2017
1819,4,M,B,WS,HT2,C2,S,1/6/2017
1820,4,M,B,WS,HT2,C2,S,1/6/2017
1821,4,M,B,WS,HT2,C2,S,1/6/2017
1822,4,M,B,WS,HT2,C2,S,1/6/2017
1823,4,H,A,SF,HT1,C2,S,1/6/2017
1824,4,H,A,SF,HT1,C2,S,1/6/2017
1825,4,H,A,SF,HT1,C2,S,1/6/2017
1826,4,H,A,SF,HT1,C2,S,1/6/2017
1827,4,H,A,SF,HT1,C2,S,1/6/2017
1828,4,H,A,SF,HT2,C2,S,1/6/2017
1829,4,H,A,SF,HT2,C2,S,1/8/2017
1830,4,H,A,SF,HT2,C2,S,1/8/2017
1831,4,H,A,SF,HT2,C2,S,1/8/2017
1832,4,H,B,SF,HT1,C2,S,1/8/2017
1833,4,H,B,SF,HT1,C2,S,1/8/2017
1834,4,H,B,SF,HT1,C2,S,2/1/2017
1835,4,H,B,SF,HT1,C2,S,2/1/2017
1836,4,H,B,SF,HT1,C2,S,2/1/2017
1837,4,H,B,SF,HT2,C1,S,2/1/2017
1838,4,H,B,SF,HT2,C1,S,2/1/2017
1839,4,H,B,SF,HT2,C1,S,2/1/2017
1840,4,H,B,SF,HT2,C2,S,2/1/2017
1841,4,H,B,SF,HT2,C2,S,2/1/2017
1842,4,H,B,SF,HT2,C2,S,2/1/2017
1843,4,H,B,SF,HT2,C2,S,2/1/2017
1844,4,H,B,SF,HT2,C2,S,2/1/2017
1845,4,H,B,WS,HT2,C2,S,2/11/2017
1846,4,H,B,WS,HT2,C2,S,2/11/2017
1847,4,H,B,WS,HT2,C2,S,2/11/2017
1848,4,H,B,WS,HT2,C2,S,2/11/2017
1849,5,L,A,SF,HT1,C2,XL,1/1/2017
1850,5,L,A,SF,HT1,C2,XL,1/1/2017
1851,5,L,A,SF,HT1,C2,XL,1/1/2017
1852,5,L,A,SF,HT1,C2,XL,1/1/2017
1853,5,L,A,WS,HT1,C1,XL,1/11/2017
1854,5,L,A,WS,HT1,C1,XL,1/11/2017
1855,5,L,A,WS,HT1,C1,XL,1/11/2017
1856,5,L,A,WS,HT1,C1,XL,1/11/2017
1857,5,L,A,WS,HT1,C2,XL,1/13/2017
1858,5,L,A,WS,HT1,C2,XL,1/13/2017
1859,5,L,A,WS,HT1,C2,XL,1/13/2017
1860,5,L,A,WS,HT1,C2,XL,1/13/2017
1861,5,L,A,WS,HT2,C1,XL,1/13/2017
1862,5,L,A,WS,HT2,C1,XL,1/13/2017
1863,5,L,A,WS,HT2,C1,XL,1/13/2017
1864,5,L,A,WS,HT2,C1,XL,1/15/2017
1865,5,L,A,WS,HT2,C2,XL,1/15/2017
1866,5,L,A,WS,HT2,C2,XL,1/15/2017
1867,5,L,A,WS,HT2,C2,XL,1/15/2017
1868,5,L,A,WS,HT2,C2,XL,1/15/2017
1869,5,L,A,WS,HT2,C2,XL,1/15/2017
1870,5,L,B,SF,HT2,C1,XL,1/15/2017
1871,5,L,B,SF,HT2,C1,XL,1/15/2017
1872,5,L,B,SF,HT2,C1,XL,1/19/2017
1873,5,L,B,SF,HT2,C1,XL,1/19/2017
1874,5,L,B,SF,HT2,C1,XL,1/19/2017
1875,5,L,B,SF,HT2,C1,XL,1/19/2017
1876,5,L,B,WS,HT1,C2,XL,1/19/2017
1877,5,L,B,WS,HT1,C2,XL,1/19/2017
1878,5,L,B,WS,HT1,C2,XL,1/19/2017
1879,5,L,B,WS,HT1,C2,XL,1/19/2017
1880,5,L,B,WS,HT1,C2,XL,1/19/2017
1881,5,L,B,WS,HT1,C2,XL,1/19/2017
1882,5,L,B,WS,HT2,C1,XL,1/19/2017
1883,5,L,B,WS,HT2,C1,XL,1/19/2017
1884,5,L,B,WS,HT2,C1,XL,1/19/2017
1885,5,L,B,WS,HT2,C1,XL,1/19/2017
1886,5,L,B,WS,HT2,C2,XL,1/21/2017
1887,5,L,B,WS,HT2,C2,XL,1/21/2017
1888,5,L,B,WS,HT2,C2,XL,1/21/2017
1889,5,L,B,WS,HT2,C2,XL,1/21/2017
1890,5,M,A,WS,HT2,C2,XL,1/21/2017
1891,5,M,A,WS,HT2,C2,XL,1/23/2017
1892,5,M,A,WS,HT2,C2,XL,1/23/2017
1893,5,M,A,WS,HT2,C2,XL,1/23/2017
1894,5,M,A,WS,HT2,C2,XL,1/23/2017
1895,5,M,A,WS,HT2,C2,XL,1/23/2017
1896,5,M,B,SF,HT2,C1,XL,1/23/2017
1897,5,M,B,SF,HT2,C1,XL,1/23/2017
1898,5,M,B,SF,HT2,C1,XL,1/25/2017
1899,5,H,A,WS,HT1,C1,XL,1/25/2017
1900,5,H,A,WS,HT1,C1,XL,1/25/2017
1901,5,H,A,WS,HT1,C1,XL,1/25/2017
1902,5,L,A,SF,HT1,C1,L,1/1/2017
1903,5,L,A,SF,HT1,C1,L,1/1/2017
1904,5,L,A,SF,HT1,C1,L,1/1/2017
1905,5,L,A,SF,HT1,C2,L,1/1/2017
1906,5,L,A,SF,HT1,C2,L,1/1/2017
1907,5,L,A,SF,HT1,C2,L,1/1/2017
1908,5,L,A,SF,HT1,C2,L,1/11/2017
1909,5,L,A,SF,HT1,C2,L,1/11/2017
1910,5,L,A,WS,HT1,C1,L,1/11/2017
1911,5,L,A,WS,HT1,C1,L,1/11/2017
1912,5,L,A,WS,HT1,C1,L,1/11/2017
1913,5,L,A,WS,HT1,C1,L,1/11/2017
1914,5,L,A,WS,HT1,C2,L,1/11/2017
1915,5,L,A,WS,HT1,C2,L,1/11/2017
1916,5,L,A,WS,HT1,C2,L,1/11/2017
1917,5,L,A,WS,HT1,C2,L,1/13/2017
1918,5,L,A,WS,HT1,C2,L,1/13/2017
1919,5,L,A,WS,HT2,C1,L,1/13/2017
1920,5,L,A,WS,HT2,C1,L,1/13/2017
1921,5,L,A,WS,HT2,C1,L,1/15/2017
1922,5,L,A,WS,HT2,C2,L,1/15/2017
1923,5,L,A,WS,HT2,C2,L,1/15/2017
1924,5,L,A,WS,HT2,C2,L,1/15/2017
1925,5,L,A,WS,HT2,C2,L,1/15/2017
1926,5,L,A,WS,HT2,C2,L,1/15/2017
1927,5,L,B,SF,HT2,C1,L,1/15/2017
1928,5,L,B,SF,HT2,C1,L,1/19/2017
1929,5,L,B,SF,HT2,C1,L,1/19/2017
1930,5,L,B,SF,HT2,C1,L,1/19/2017
1931,5,L,B,SF,HT2,C2,L,1/19/2017
1932,5,L,B,SF,HT2,C2,L,1/19/2017
1933,5,L,B,SF,HT2,C2,L,1/19/2017
1934,5,L,B,WS,HT1,C2,L,1/19/2017
1935,5,L,B,WS,HT1,C2,L,1/19/2017
1936,5,L,B,WS,HT1,C2,L,1/19/2017
1937,5,L,B,WS,HT1,C2,L,1/19/2017
1938,5,L,B,WS,HT2,C1,L,1/19/2017
1939,5,L,B,WS,HT2,C1,L,1/19/2017
1940,5,L,B,WS,HT2,C1,L,1/19/2017
1941,5,L,B,WS,HT2,C1,L,1/21/2017
1942,5,L,B,WS,HT2,C2,L,1/21/2017
1943,5,L,B,WS,HT2,C2,L,1/21/2017
1944,5,L,B,WS,HT2,C2,L,1/21/2017
1945,5,L,B,WS,HT2,C2,L,1/21/2017
1946,5,M,A,SF,HT1,C1,L,1/21/2017
1947,5,M,A,SF,HT1,C1,L,1/21/2017
1948,5,M,A,SF,HT1,C1,L,1/21/2017
1949,5,M,A,SF,HT1,C1,L,1/23/2017
1950,5,M,A,SF,HT1,C1,L,1/23/2017
1951,5,M,A,SF,HT1,C1,L,1/23/2017
1952,5,M,A,WS,HT1,C2,L,1/23/2017
1953,5,M,A,WS,HT1,C2,L,1/23/2017
1954,5,M,A,WS,HT1,C2,L,1/23/2017
1955,5,M,A,WS,HT1,C2,L,1/23/2017
1956,5,M,A,WS,HT1,C2,L,1/23/2017
1957,5,M,A,WS,HT1,C2,L,1/23/2017
1958,5,M,A,WS,HT2,C2,L,1/23/2017
1959,5,M,A,WS,HT2,C2,L,1/23/2017
1960,5,M,A,WS,HT2,C2,L,1/25/2017
1961,5,M,A,WS,HT2,C2,L,1/25/2017
1962,5,M,A,WS,HT2,C2,L,1/25/2017
1963,5,M,B,SF,HT2,C1,L,1/25/2017
1964,5,M,B,SF,HT2,C1,L,1/25/2017
1965,5,M,B,SF,HT2,C1,L,1/25/2017
1966,5,M,B,SF,HT2,C1,L,1/25/2017
1967,5,M,B,WS,HT2,C1,L,1/25/2017
1968,5,M,B,WS,HT2,C1,L,1/25/2017
1969,5,M,B,WS,HT2,C1,L,1/27/2017
1970,5,M,B,WS,HT2,C1,L,1/27/2017
1971,5,M,B,WS,HT2,C1,L,1/27/2017
1972,5,M,B,WS,HT2,C1,L,1/27/2017
1973,5,H,A,WS,HT1,C1,L,1/27/2017
1974,5,H,A,WS,HT1,C1,L,1/27/2017
1975,5,H,A,WS,HT1,C1,L,1/27/2017
1976,5,H,A,WS,HT1,C2,L,1/27/2017
1977,5,H,A,WS,HT1,C2,L,1/27/2017
1978,5,H,A,WS,HT1,C2,L,1/27/2017
1979,5,H,A,WS,HT1,C2,L,1/27/2017
1980,5,H,A,WS,HT1,C2,L,1/3/2017
1981,5,H,A,WS,HT2,C2,L,1/3/2017
1982,5,H,A,WS,HT2,C2,L,1/3/2017
1983,5,H,A,WS,HT2,C2,L,1/3/2017
1984,5,H,B,WS,HT1,C1,L,1/31/2017
1985,5,H,B,WS,HT1,C1,L,1/31/2017
1986,5,H,B,WS,HT1,C1,L,1/31/2017
1987,5,H,B,WS,HT1,C1,L,1/31/2017
1988,5,H,B,WS,HT1,C1,L,1/31/2017
1989,5,H,B,WS,HT1,C2,L,1/31/2017
1990,5,H,B,WS,HT1,C2,L,1/31/2017
1991,5,H,B,WS,HT1,C2,L,1/31/2017
1992,5,H,B,WS,HT1,C2,L,1/31/2017
1993,5,H,B,WS,HT1,C2,L,1/31/2017
1994,5,H,B,WS,HT1,C2,L,1/5/2017
1995,5,L,A,SF,HT1,C1,M,1/1/2017
1996,5,L,A,SF,HT1,C1,M,1/1/2017
1997,5,L,A,SF,HT1,C1,M,1/1/2017
1998,5,L,A,SF,HT1,C1,M,1/1/2017
1999,5,L,A,SF,HT1,C1,M,1/1/2017
2000,5,L,A,SF,HT1,C2,M,1/1/2017
2001,5,L,A,SF,HT1,C2,M,1/1/2017
2002,5,L,A,SF,HT1,C2,M,1/11/2017
2003,5,L,A,SF,HT1,C2,M,1/11/2017
2004,5,L,A,SF,HT2,C2,M,1/11/2017
2005,5,L,A,SF,HT2,C2,M,1/11/2017
2006,5,L,A,SF,HT2,C2,M,1/11/2017
2007,5,L,A,WS,HT1,C1,M,1/11/2017
2008,5,L,A,WS,HT1,C1,M,1/11/2017
2009,5,L,A,WS,HT1,C1,M,1/11/2017
2010,5,L,A,WS,HT1,C1,M,1/11/2017
2011,5,L,A,WS,HT1,C1,M,1/13/2017
2012,5,L,A,WS,HT1,C1,M,1/13/2017
2013,5,L,A,WS,HT1,C2,M,1/13/2017
2014,5,L,A,WS,HT1,C2,M,1/13/2017
