Index,Unit,Visibility,GroundCover,HabitatType,Species,Size,DateFound
581,88,RP,B,B,SD,small,3/29/2018
582,17,RP,B,C,SE,small,4/4/2018
583,53,RP,A,B,SA,small,4/13/2018
584,51,RP,B,A,SC,small,4/13/2018
585,25,RP,B,C,SC,small,5/1/2018
586,45,RP,B,C,SC,small,5/8/2018
587,3,RP,B,B,SA,small,6/27/2018
588,16,RP,B,C,SC,small,6/5/2018
589,82,RP,B,C,SE,small,5/8/2018
590,8,RP,B,C,SD,small,6/26/2018
591,67,RP,B,C,SD,small,6/12/2018
592,51,RP,B,C,SB,small,5/29/2018
593,39,RP,A,C,SB,small,5/22/2018
594,8,RP,A,B,SC,small,6/12/2018
595,62,RP,B,C,SB,small,6/26/2018
596,52,RP,A,B,SD,small,5/15/2018
597,49,RP,A,B,SB,small,5/15/2018
598,97,RP,B,C,SC,small,5/29/2018
599,44,RP,B,B,SA,small,8/2/2018
600,26,RP,B,B,SB,small,7/8/2018
601,31,RP,B,C,SA,small,8/11/2018
602,16,RP,B,B,SA,small,8/18/2018
603,94,RP,B,B,MD,med,4/22/2018
604,22,RP,B,C,MC,med,4/28/2018
605,19,RP,B,C,MD,med,6/12/2018
606,3,RP,B,C,ME,med,6/12/2018
607,100,RP,A,C,MA,med,5/22/2018
608,16,RP,B,C,MD,med,8/10/2018
609,49,RP,A,B,MB,med,8/5/2018
610,36,RP,A,A,LE,lrg,4/22/2018
611,6,RP,B,B,LA,lrg,6/12/2018
612,9,RP,B,B,LA,lrg,6/5/2018
613,8,RP,B,C,LA,lrg,8/9/2018
